name,team,pos,salary,dk_id,snapshot_ts
caleb williams,CHI,QB,6300,43727239,2026-09-14T05:38:17.707035+00:00
d'andre swift,CHI,RB,6100,43727352,2026-09-14T05:38:17.707035+00:00
luther burden,CHI,WR,5500,43727674,2026-09-14T05:38:17.707035+00:00
rome odunze,CHI,WR,5400,43727678,2026-09-14T05:38:17.707035+00:00
colston loveland,CHI,TE,5300,43728220,2026-09-14T05:38:17.707035+00:00
kyle monangai,CHI,RB,5100,43727382,2026-09-14T05:38:17.707035+00:00
tyson bagent,CHI,QB,4000,43727275,2026-09-14T05:38:17.707035+00:00
case keenum,CHI,QB,4000,43727276,2026-09-14T05:38:17.707035+00:00
miller moss,CHI,QB,4000,43727277,2026-09-14T05:38:17.707035+00:00
roschon johnson,CHI,RB,4000,43727490,2026-09-14T05:38:17.707035+00:00
brittain brown,CHI,RB,4000,43727492,2026-09-14T05:38:17.707035+00:00
salvon ahmed,CHI,RB,4000,43727494,2026-09-14T05:38:17.707035+00:00
zavier scott,CHI,RB,4000,43727554,2026-09-14T05:38:17.707035+00:00
zavion thomas,CHI,WR,3600,43727764,2026-09-14T05:38:17.707035+00:00
kalif raymond,CHI,WR,3300,43727796,2026-09-14T05:38:17.707035+00:00
cole kmet,CHI,TE,3300,43728256,2026-09-14T05:38:17.707035+00:00
jahdae walker,CHI,WR,3100,43727824,2026-09-14T05:38:17.707035+00:00
scotty miller,CHI,WR,3000,43727888,2026-09-14T05:38:17.707035+00:00
maurice alexander,CHI,WR,3000,43727890,2026-09-14T05:38:17.707035+00:00
jp richardson,CHI,WR,3000,43727892,2026-09-14T05:38:17.707035+00:00
kaden davis,CHI,WR,3000,43727894,2026-09-14T05:38:17.707035+00:00
omari kelly,CHI,WR,3000,43727896,2026-09-14T05:38:17.707035+00:00
kyron hudson,CHI,WR,3000,43727898,2026-09-14T05:38:17.707035+00:00
sam roush,CHI,TE,2800,43728288,2026-09-14T05:38:17.707035+00:00
nikola kalinic,CHI,TE,2500,43728330,2026-09-14T05:38:17.707035+00:00
stephen carlson,CHI,TE,2500,43728332,2026-09-14T05:38:17.707035+00:00
qadir ismail,CHI,TE,2500,43728334,2026-09-14T05:38:17.707035+00:00
hayden large,CHI,TE,2500,43728336,2026-09-14T05:38:17.707035+00:00
CHI DST,CHI,DST,2800,43728536,2026-09-14T05:38:17.707035+00:00
tetairoa mcmillan,CAR,WR,6100,43727652,2026-09-14T05:38:17.707035+00:00
chuba hubbard,CAR,RB,5500,43727366,2026-09-14T05:38:17.707035+00:00
bryce young,CAR,QB,5200,43727251,2026-09-14T05:38:17.707035+00:00
jonathon brooks,CAR,RB,5000,43727392,2026-09-14T05:38:17.707035+00:00
jalen coker,CAR,WR,4600,43727708,2026-09-14T05:38:17.707035+00:00
